"Player","Nation","Pos","Age","MP","Starts","Min","X90s","Gls","Ast","G.A","G.PK","PK","PKatt","CrdY","CrdR","xG","npxG","xAG","npxG.xAG","PrgC","PrgP","PrgR","Gls_90","Ast_90","G.A_90","G.PK_90","G.A.PK_90","xG_90","xAG_90","xG.xAG_90","npxG_90","npxG.xAG_90","Team","precio","precio_mas_alto"
"sasa kalajdzic","at AUT","FW",26,11,1,166,1.8,2,0,2,2,0,0,0,0,1.1,1.1,1,2,1,5,9,1.08,0,1.08,1.08,1.08,0.57,0.52,1.09,0.57,1.09,"Wolverhampton",5000000,25000000
"tawanda chirewa","zw ZIM","MF,FW",19,8,1,145,1.6,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,1,7,8,0,0,0,0,0,0.1,0.02,0.12,0.1,0.12,"Wolverhampton",500000,500000
"enso gonzalez","py PAR","MF,DF",18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"Wolverhampton",4000000,4000000
"mark flekken","nl NED","GK",30,37,37,3285,36.5,0,1,1,0,0,0,3,0,0,0,0.5,0.5,0,5,0,0,0.03,0.03,0,0.03,0,0.01,0.01,0,0.01,"Brentford",12000000,12000000
"vitaly janelt","de GER","MF,DF",25,38,37,3054,33.9,1,3,4,1,0,0,8,0,1.8,1.8,4.8,6.5,25,123,81,0.03,0.09,0.12,0.03,0.12,0.05,0.14,0.19,0.05,0.19,"Brentford",22000000,22000000
"christian norgaard","dk DEN","MF",29,31,30,2505,27.8,2,1,3,2,0,0,8,0,3.5,3.5,1.9,5.4,15,161,42,0.07,0.04,0.11,0.07,0.11,0.12,0.07,0.19,0.12,0.19,"Brentford",18000000,20000000
"nathan collins","ie IRL","DF",22,32,29,2652,29.5,1,1,2,1,0,0,3,0,1.7,1.7,2.2,3.9,11,97,18,0.03,0.03,0.07,0.03,0.07,0.06,0.07,0.13,0.06,0.13,"Brentford",25000000,25000000
"yoane wissa","cd COD","FW",26,34,29,2493,27.7,12,3,15,12,0,0,7,0,10.6,10.6,3.9,14.5,45,48,150,0.43,0.11,0.54,0.43,0.54,0.38,0.14,0.52,0.38,0.52,"Brentford",28000000,28000000
"ethan pinnock","jm JAM","DF",30,29,28,2521,28,2,0,2,2,0,0,1,0,2,2,1,3,11,61,16,0.07,0,0.07,0.07,0.07,0.07,0.04,0.11,0.07,0.11,"Brentford",10000000,15000000
"mathias jensen","dk DEN","MF",27,32,27,2204,24.5,3,3,6,3,0,0,5,0,0.7,0.7,4,4.7,19,123,66,0.12,0.12,0.25,0.12,0.25,0.03,0.16,0.19,0.03,0.19,"Brentford",28000000,30000000
"mads roerslev","dk DEN","DF",24,34,22,1985,22.1,1,2,3,1,0,0,1,0,0.9,0.9,1.8,2.7,18,43,90,0.05,0.09,0.14,0.05,0.14,0.04,0.08,0.12,0.04,0.12,"Brentford",10000000,10000000
"bryan mbeumo","cm CMR","FW",23,25,22,1960,21.8,9,6,15,6,3,3,2,0,9.8,7.4,4.6,12.1,74,88,195,0.41,0.28,0.69,0.28,0.55,0.45,0.21,0.66,0.34,0.55,"Brentford",40000000,40000000
"kristoffer ajer","no NOR","DF",25,28,21,1832,20.4,2,1,3,2,0,0,5,0,1.3,1.3,2.3,3.6,22,61,31,0.1,0.05,0.15,0.1,0.15,0.06,0.11,0.18,0.06,0.18,"Brentford",15000000,18000000
"ivan toney","eng ENG","FW",27,17,16,1450,16.1,4,2,6,4,0,0,5,0,6,6,1.5,7.4,23,40,98,0.25,0.12,0.37,0.25,0.37,0.37,0.09,0.46,0.37,0.46,"Brentford",50000000,50000000
"keane lewispotter","eng ENG","FW,DF",22,30,15,1441,16,3,1,4,3,0,0,0,0,6.3,6.3,1.7,8,56,32,135,0.19,0.06,0.25,0.19,0.25,0.39,0.11,0.5,0.39,0.5,"Brentford",18000000,18000000
"ben mee","eng ENG","DF",33,16,15,1272,14.1,2,0,2,2,0,0,1,1,1.5,1.5,0.3,1.8,11,49,9,0.14,0,0.14,0.14,0.14,0.1,0.02,0.13,0.1,0.13,"Brentford",1000000,10000000
"aaron hickey","sct SCO","DF",21,9,9,713,7.9,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,9,21,13,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,"Brentford",25000000,30000000
"mikkel damsgaard","dk DEN","MF",23,23,7,842,9.4,0,2,2,0,0,0,2,0,0.9,0.9,1.4,2.4,16,61,32,0,0.21,0.21,0,0.21,0.1,0.16,0.25,0.1,0.25,"Brentford",10000000,20000000
"saman ghoddos","ir IRN","DF",29,19,7,739,8.2,1,0,1,1,0,0,5,0,0.3,0.3,1.1,1.4,22,36,31,0.12,0,0.12,0.12,0.12,0.04,0.13,0.17,0.04,0.17,"Brentford",2000000,5000000
"rico henry","eng ENG","DF",26,5,5,401,4.5,0,1,1,0,0,0,1,0,0.1,0.1,1,1.1,13,20,12,0,0.22,0.22,0,0.22,0.02,0.22,0.24,0.02,0.24,"Brentford",20000000,28000000
"kevin schade","de GER","FW,MF",21,11,3,333,3.7,2,1,3,2,0,0,0,0,1.2,1.2,0.7,1.9,8,9,23,0.54,0.27,0.81,0.54,0.81,0.32,0.19,0.52,0.32,0.52,"Brentford",22000000,25000000
"shandon baptiste","gd GRN","MF",25,10,2,229,2.5,1,1,2,1,0,0,1,0,0.9,0.9,0.2,1.1,3,5,1,0.39,0.39,0.79,0.39,0.79,0.35,0.08,0.43,0.35,0.43,"Brentford",2500000,3000000
"michael olakigbe","eng ENG","DF,FW",19,8,0,59,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,10,4,17,0,0,0,0,0,0.18,0,0.18,0.18,0.18,"Brentford",600000,600000
"josh dasilva","eng ENG","DF,FW",24,3,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0.2,0.2,2,2,5,0,0,0,0,0,0,0.72,0.72,0,0.72,"Brentford",10000000,16000000
"myles peartharris","eng ENG","DF,MF",20,3,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0.12,0.12,0,0.12,"Brentford",700000,1000000
"morgan gibbswhite","eng ENG","MF,FW",23,37,35,3156,35.1,5,10,15,4,1,1,9,0,6.9,6.1,8.4,14.6,80,170,181,0.14,0.29,0.43,0.11,0.4,0.2,0.24,0.44,0.17,0.42,"Nottingham Forest",40000000,40000000
"murillo","br BRA","DF",21,32,32,2789,31,0,2,2,0,0,0,5,0,1.8,1.8,1.2,3,22,89,7,0,0.06,0.06,0,0.06,0.06,0.04,0.1,0.06,0.1,"Nottingham Forest",40000000,40000000
"anthony elanga","se SWE","FW,MF",21,36,25,2433,27,5,9,14,5,0,0,1,0,6.6,6.6,6.7,13.3,98,49,196,0.18,0.33,0.52,0.18,0.52,0.24,0.25,0.49,0.24,0.49,"Nottingham Forest",25000000,25000000
"ryan yates","eng ENG","MF",25,35,21,1992,22.1,1,1,2,1,0,0,6,0,2.6,2.6,0.8,3.5,18,73,37,0.05,0.05,0.09,0.05,0.09,0.12,0.04,0.16,0.12,0.16,"Nottingham Forest",12000000,12000000
"callum hudsonodoi","eng ENG","FW,MF",22,29,20,1854,20.6,8,1,9,8,0,0,0,0,2.7,2.7,2.8,5.5,111,58,171,0.39,0.05,0.44,0.39,0.44,0.13,0.14,0.27,0.13,0.27,"Nottingham Forest",22000000,35000000
"chris wood","nz NZL","FW",31,31,20,1812,20.1,14,1,15,14,0,0,0,0,11.9,11.9,2.1,14,16,30,76,0.7,0.05,0.75,0.7,0.75,0.59,0.1,0.7,0.59,0.7,"Nottingham Forest",7000000,18000000
"danilo","br BRA","MF",22,29,20,1792,19.9,2,2,4,2,0,0,4,0,1.8,1.8,1.5,3.4,22,83,28,0.1,0.1,0.2,0.1,0.2,0.09,0.08,0.17,0.09,0.17,"Nottingham Forest",28000000,28000000
"ola aina","ng NGA","DF",26,22,20,1692,18.8,1,1,2,1,0,0,3,0,0.3,0.3,0.9,1.2,53,68,38,0.05,0.05,0.11,0.05,0.11,0.01,0.05,0.06,0.01,0.06,"Nottingham Forest",12000000,12000000
"nicolas dominguez","ar ARG","MF,FW",25,26,19,1495,16.6,2,2,4,2,0,0,4,0,1.3,1.3,1,2.3,14,91,43,0.12,0.12,0.24,0.12,0.24,0.08,0.06,0.14,0.08,0.14,"Nottingham Forest",17000000,17500000
"neco williams","wls WAL","DF",22,26,18,1637,18.2,0,1,1,0,0,0,4,0,0.8,0.8,1.6,2.5,48,47,86,0,0.05,0.05,0,0.05,0.04,0.09,0.13,0.04,0.13,"Nottingham Forest",17000000,20000000
"willy boly","ci CIV","DF",32,20,18,1438,16,2,1,3,2,0,0,3,1,1.5,1.5,1.3,2.8,4,32,3,0.13,0.06,0.19,0.13,0.19,0.09,0.08,0.18,0.09,0.18,"Nottingham Forest",2500000,18000000
"matz sels","be BEL","GK",31,16,16,1440,16,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nottingham Forest",7000000,8000000
"harry toffolo","eng ENG","DF",27,23,15,1459,16.2,1,3,4,1,0,0,3,0,1.6,1.6,1.5,3.2,10,42,34,0.06,0.19,0.25,0.06,0.25,0.1,0.1,0.2,0.1,0.2,"Nottingham Forest",5000000,5000000
"ibrahim sangare","ci CIV","MF",25,17,13,1035,11.5,0,0,0,0,0,0,6,0,0.6,0.6,0.4,1,5,44,7,0,0,0,0,0,0.06,0.03,0.09,0.06,0.09,"Nottingham Forest",30000000,35000000
"taiwo awoniyi","ng NGA","FW",25,20,12,1042,11.6,6,3,9,6,0,0,2,0,4.7,4.7,1.7,6.4,8,14,45,0.52,0.26,0.78,0.52,0.78,0.41,0.15,0.56,0.41,0.56,"Nottingham Forest",28000000,30000000
"serge aurier","ci CIV","DF,MF",30,12,10,833,9.3,0,2,2,0,0,0,2,0,0.2,0.2,0.5,0.6,10,47,29,0,0.22,0.22,0,0.22,0.02,0.05,0.07,0.02,0.07,"Nottingham Forest",3700000,20000000
"andrew omobamidele","ie IRL","DF",21,11,8,783,8.7,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,1,8,0,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,"Nottingham Forest",11000000,11000000
"divock origi","be BEL","FW",28,20,6,606,6.7,0,1,1,0,0,0,1,0,1.4,1.4,2.1,3.5,19,14,41,0,0.15,0.15,0,0.15,0.21,0.31,0.51,0.21,0.51,"Nottingham Forest",5000000,20000000
"joe worrall","eng ENG","DF",26,7,5,439,4.9,0,0,0,0,0,0,0,1,0.1,0.1,0.2,0.3,0,8,1,0,0,0,0,0,0.02,0.04,0.06,0.02,0.06,"Nottingham Forest",7500000,12000000
"felipe","br BRA","DF",34,7,4,375,4.2,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.2,1,6,0,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,"Nottingham Forest",1500000,32000000
"cheikhou kouyate","sn SEN","MF",33,12,2,212,2.4,0,0,0,0,0,0,2,0,0.3,0.3,0,0.3,0,5,5,0,0,0,0,0,0.12,0.02,0.14,0.12,0.14,"Nottingham Forest",1000000,12000000
"thomas kaminski","be BEL","GK",30,38,38,3405,37.8,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Luton Town",3000000,3000000
"alfie doughty","eng ENG","DF",23,37,34,2925,32.5,2,8,10,2,0,0,5,0,1.3,1.3,6.3,7.6,94,106,164,0.06,0.25,0.31,0.06,0.31,0.04,0.19,0.23,0.04,0.23,"Luton Town",10000000,10000000
"carlton morris","eng ENG","FW,MF",27,38,32,2862,31.8,11,4,15,6,5,5,4,0,11.4,7.5,2.8,10.2,37,56,120,0.35,0.13,0.47,0.19,0.31,0.36,0.09,0.45,0.23,0.32,"Luton Town",13000000,13000000
"teden mengi","eng ENG","DF",21,30,28,2469,27.4,1,0,1,1,0,0,3,0,0.6,0.6,0.3,0.9,15,54,1,0.04,0,0.04,0.04,0.04,0.02,0.01,0.03,0.02,0.03,"Luton Town",12000000,12000000
"amarii bell","jm JAM","DF",29,21,21,1720,19.1,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.7,32,76,10,0,0,0,0,0,0.01,0.02,0.04,0.01,0.04,"Luton Town",2500000,2500000
"tahith chong","nl NED","MF,FW",23,33,20,1982,22,4,0,4,4,0,0,4,0,2.7,2.7,0.5,3.2,57,72,101,0.18,0,0.18,0.18,0.18,0.12,0.02,0.15,0.12,0.15,"Luton Town",6000000,7000000
"reece burke","eng ENG","DF",26,22,20,1660,18.4,0,4,4,0,0,0,5,0,1.3,1.3,1.4,2.7,11,67,14,0,0.22,0.22,0,0.22,0.07,0.07,0.15,0.07,0.15,"Luton Town",1800000,3000000
"elijah adebayo","eng ENG","FW",25,27,16,1419,15.8,10,0,10,10,0,0,1,0,5.9,5.9,0.7,6.6,16,23,110,0.63,0,0.63,0.63,0.63,0.37,0.04,0.42,0.37,0.42,"Luton Town",12000000,12000000
"jordan clark","eng ENG","MF",29,23,14,1304,14.5,1,1,2,1,0,0,4,0,1,1,1.3,2.2,21,51,39,0.07,0.07,0.14,0.07,0.14,0.07,0.09,0.16,0.07,0.16,"Luton Town",1000000,1000000
"tom lockyer","wls WAL","DF",28,14,14,1169,13,1,1,2,1,0,0,4,0,1.1,1.1,0.6,1.7,6,37,2,0.08,0.08,0.15,0.08,0.15,0.08,0.05,0.13,0.08,0.13,"Luton Town",2500000,3500000
"marvelous nakamba","zw ZIM","MF",29,13,13,1130,12.6,0,0,0,0,0,0,5,0,0.2,0.2,0.4,0.6,1,36,5,0,0,0,0,0,0.01,0.03,0.05,0.01,0.05,"Luton Town",5000000,10000000
"jacob brown","sct SCO","MF,FW",25,19,12,1019,11.3,2,0,2,2,0,0,4,0,2.8,2.8,0.7,3.4,25,19,53,0.18,0,0.18,0.18,0.18,0.25,0.06,0.3,0.25,0.3,"Luton Town",4000000,6000000
"pelly ruddock mpanzu","cd COD","MF",30,27,11,1101,12.2,0,0,0,0,0,0,1,0,0.6,0.6,0.4,1.1,10,34,15,0,0,0,0,0,0.05,0.04,0.09,0.05,0.09,"Luton Town",1500000,1800000
"daiki hashioka","jp JPN","DF",24,10,6,595,6.6,0,0,0,0,0,0,0,0,0.1,0.1,0.7,0.8,3,21,16,0,0,0,0,0,0.02,0.1,0.12,0.02,0.12,"Luton Town",2000000,2000000
"fred onyedinma","eng ENG","DF,MF",26,8,4,407,4.5,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,9,6,21,0,0,0,0,0,0.04,0.02,0.06,0.04,0.06,"Luton Town",500000,800000
"cauley woodrow","eng ENG","FW,MF",28,24,2,427,4.7,1,1,2,1,0,0,2,0,1.4,1.4,1.2,2.6,7,6,22,0.21,0.21,0.42,0.21,0.42,0.3,0.25,0.55,0.3,0.55,"Luton Town",1000000,3500000
"luke berry","eng ENG","MF,DF",31,17,2,323,3.6,2,1,3,2,0,0,1,0,1,1,0.3,1.3,1,8,7,0.56,0.28,0.84,0.56,0.84,0.28,0.07,0.35,0.28,0.35,"Luton Town",400000,800000
"james shea","eng ENG","GK",32,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Luton Town",200000,300000
"zack nelson","eng ENG","MF,DF",18,2,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Luton Town",100000,100000
"james trafford","eng ENG","GK",20,28,28,2520,28,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,"Burnley",18000000,18000000
"vitinho","br BRA","DF,MF",24,32,26,2314,25.7,0,2,2,0,0,0,1,0,1.6,1.6,1.3,2.9,59,66,110,0,0.08,0.08,0,0.08,0.06,0.05,0.11,0.06,0.11,"Burnley",5000000,5000000
"josh brownhill","eng ENG","MF",27,33,23,2252,25,4,2,6,4,0,0,4,1,1.9,1.9,2.1,4,19,90,36,0.16,0.08,0.24,0.16,0.24,0.08,0.08,0.16,0.08,0.16,"Burnley",15000000,18000000
"josh cullen","ie IRL","MF",27,25,23,2057,22.9,2,3,5,2,0,0,9,0,0.6,0.6,1.8,2.4,22,123,22,0.09,0.13,0.22,0.09,0.22,0.03,0.08,0.11,0.03,0.11,"Burnley",10000000,13000000
"lyle foster","za RSA","FW,MF",22,24,22,1899,21.1,5,3,8,5,0,0,0,1,4.5,4.5,1.9,6.4,55,37,104,0.24,0.14,0.38,0.24,0.38,0.21,0.09,0.3,0.21,0.3,"Burnley",13000000,13000000
"maxime esteve","fr FRA","DF",21,16,15,1309,14.5,0,0,0,0,0,0,6,0,0.3,0.3,0,0.3,15,40,3,0,0,0,0,0,0.02,0,0.02,0.02,0.02,"Burnley",7000000,7000000
"jordan beyer","de GER","DF",23,15,15,1234,13.7,0,1,1,0,0,0,6,0,0.5,0.5,0.3,0.8,9,25,1,0,0.07,0.07,0,0.07,0.04,0.02,0.06,0.04,0.06,"Burnley",13000000,16000000
"luca koleosho","it ITA","MF,FW",18,15,13,974,10.8,1,1,2,1,0,0,0,0,2,2,1.3,3.3,53,19,82,0.09,0.09,0.18,0.09,0.18,0.18,0.12,0.3,0.18,0.3,"Burnley",7000000,7000000
"johann berg gudmundsson","is ISL","MF,FW",32,26,12,1192,13.2,1,3,4,1,0,0,2,0,1.9,1.9,2.7,4.5,13,59,69,0.08,0.23,0.3,0.08,0.3,0.14,0.2,0.34,0.14,0.34,"Burnley",1000000,10000000
"connor roberts","wls WAL","DF",27,14,8,823,9.1,0,1,1,0,0,0,5,1,0,0,0.2,0.2,6,38,13,0,0.11,0.11,0,0.11,0,0.02,0.02,0,0.02,"Burnley",7000000,8000000
"jay rodriguez","eng ENG","FW",34,21,7,822,9.1,2,1,3,1,1,1,0,0,3.5,2.7,0.2,2.9,2,17,28,0.22,0.11,0.33,0.11,0.22,0.38,0.02,0.4,0.3,0.32,"Burnley",1000000,13000000
"hannes delcroix","be BEL","DF",24,12,5,589,6.5,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.6,2,18,6,0,0,0,0,0,0.05,0.03,0.09,0.05,0.09,"Burnley",4000000,4000000
"aaron ramsey","eng ENG","MF,FW",20,14,5,527,5.9,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,8,8,17,0,0,0,0,0,0.06,0.07,0.13,0.06,0.13,"Burnley",15000000,15000000
"hjalmar ekdal","se SWE","DF",24,8,5,437,4.9,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.1,5,11,1,0,0,0,0,0,0.01,0.01,0.03,0.01,0.03,"Burnley",7000000,8000000
"mike tresor","be BEL","FW,MF",24,16,3,420,4.7,0,0,0,0,0,0,0,0,0.5,0.5,0.4,0.9,15,10,31,0,0,0,0,0,0.1,0.08,0.18,0.1,0.18,"Burnley",12000000,15000000
"benson manuel","ao ANG","MF,FW",26,8,1,116,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,5,2,14,0,0,0,0,0,0.05,0.03,0.08,0.05,0.08,"Burnley",5000000,7000000
"nathan redmond","eng ENG","FW,MF",29,12,0,142,1.6,0,0,0,0,0,0,1,0,0,0,0.3,0.3,7,8,22,0,0,0,0,0,0,0.19,0.19,0,0.19,"Burnley",5000000,20000000
"jack cork","eng ENG","MF",34,4,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,"Burnley",800000,15000000
"michael obafemi","ie IRL","FW,MF",23,2,0,20,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,3,0,0,0,0,0,0.4,0,0.4,0.4,0.4,"Burnley",2200000,5000000
"hannoah massengo","fr FRA","MF,DF",22,3,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"Burnley",4000000,8000000
"gustavo hamer","nl NED","MF",26,36,34,2910,32.3,4,6,10,4,0,0,9,0,3,3,6.1,9.1,36,135,86,0.12,0.19,0.31,0.12,0.31,0.09,0.19,0.28,0.09,0.28,"Sheffield United",15000000,16000000
"jayden bogle","eng ENG","DF",23,34,32,2788,31,3,0,3,3,0,0,9,0,2.3,2.3,1,3.3,38,60,92,0.1,0,0.1,0.1,0.1,0.07,0.03,0.11,0.07,0.11,"Sheffield United",3800000,7000000
"jack robinson","eng ENG","DF",29,34,31,2885,32.1,1,1,2,1,0,0,10,0,1.2,1.2,1.2,2.4,8,63,14,0.03,0.03,0.06,0.03,0.06,0.04,0.04,0.08,0.04,0.08,"Sheffield United",1000000,2500000
"anel ahmedhodzic","ba BIH","DF",24,31,29,2649,29.4,2,0,2,2,0,0,11,1,3.1,3.1,0.8,4,15,43,21,0.07,0,0.07,0.07,0.07,0.11,0.03,0.14,0.11,0.14,"Sheffield United",18000000,20000000
"oliver norwood","nir NIR","MF",32,27,16,1440,16,1,0,1,0,1,1,8,0,1.1,0.3,0.6,0.9,3,73,10,0.06,0,0.06,0,0,0.07,0.04,0.11,0.02,0.06,"Sheffield United",1000000,9000000
"ben osborn","eng ENG","DF,MF",28,24,14,1367,15.2,0,2,2,0,0,0,3,0,0.2,0.2,0.9,1.1,16,55,44,0,0.13,0.13,0,0.13,0.01,0.06,0.07,0.01,0.07,"Sheffield United",1000000,3000000
"andre brooks","eng ENG","MF,DF",19,20,12,938,10.4,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,12,18,22,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05,"Sheffield United",2500000,2500000
"george baldock","gr GRE","DF",30,13,11,969,10.8,0,1,1,0,0,0,4,0,0,0,0.8,0.8,9,31,24,0,0.09,0.09,0,0.09,0,0.07,0.08,0,0.08,"Sheffield United",2500000,6500000
"oliver arblaster","eng ENG","MF",19,12,11,943,10.5,0,0,0,0,0,0,2,0,0,0,0.7,0.8,13,43,4,0,0,0,0,0,0,0.07,0.07,0,0.07,"Sheffield United",450000,450000
"mason holgate","eng ENG","DF",26,10,9,710,7.9,0,0,0,0,0,0,3,1,0.6,0.6,0.4,1.1,0,13,0,0,0,0,0,0,0.08,0.05,0.13,0.08,0.13,"Sheffield United",5000000,20000000
"yasser larouci","dz ALG","DF",22,11,6,531,5.9,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,18,14,12,0,0,0,0,0,0.04,0.05,0.09,0.04,0.09,"Sheffield United",3000000,3500000
"john egan","ie IRL","DF",30,6,6,482,5.4,0,0,0,0,0,0,2,0,0.2,0.2,0,0.2,0,5,1,0,0,0,0,0,0.03,0,0.03,0.03,0.03,"Sheffield United",4000000,13000000
"max lowe","eng ENG","DF,MF",26,10,4,503,5.6,0,0,0,0,0,0,1,0,0.6,0.6,0.7,1.3,5,12,11,0,0,0,0,0,0.1,0.13,0.23,0.1,0.23,"Sheffield United",2500000,3500000
"rhian brewster","eng ENG","FW,MF",23,13,3,346,3.8,0,0,0,0,0,0,0,1,0.4,0.4,0.1,0.5,1,3,21,0,0,0,0,0,0.09,0.03,0.12,0.09,0.12,"Sheffield United",3000000,15000000
"chris basham","eng ENG","DF,MF",35,8,3,321,3.6,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,1,7,6,0,0,0,0,0,0.04,0.07,0.1,0.04,0.1,"Sheffield United",300000,3000000
"tom davies","eng ENG","MF",25,9,2,221,2.5,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.4,3,8,3,0,0,0,0,0,0.14,0.03,0.17,0.14,0.17,"Sheffield United",5000000,18000000
"rhys norringtondavies","wls WAL","DF",24,5,2,110,1.2,0,0,0,0,0,0,1,0,0,0,0,0,3,2,6,0,0,0,0,0,0,0.01,0.01,0,0.01,"Sheffield United",2500000,3000000
"john fleck","sct SCO","MF,DF",31,4,1,92,1,0,0,0,0,0,0,1,0,0,0,0.4,0.4,2,3,0,0,0,0,0,0,0,0.44,0.44,0,0.44,"Sheffield United",900000,8000000
"sam curtis","ie IRL","DF",17,1,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Sheffield United",150000,150000
"daniel jebbison","eng ENG","FW",19,1,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Sheffield United",1000000,1000000
"antwoine hackford","eng ENG","FW",19,2,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sheffield United",500000,500000
"sydie peck","eng ENG","MF",18,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sheffield United",200000,200000
"ryan one","sct SCO","FW",17,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Sheffield United",200000,200000
